Census,School Name,Category,Year Level,Students
01 February 2009,Telopea Park School, Public,Year 9,182
01 February 2009,Telopea Park School, Public,Year 10,163
01 February 2009,The Canberra College, Public,Year 11,441
01 February 2009,The Canberra College, Public,Year 12,436
01 February 2009,The Canberra College, Public,Older & Mature,25
01 February 2009,The Woden School, Public,Year 7,15
01 February 2009,The Woden School, Public,Year 8,14
01 February 2009,The Woden School, Public,Year 9,36
01 February 2009,The Woden School, Public,Year 10,10
01 February 2009,Theodore Primary School, Public,Preschool,49
01 February 2009,Theodore Primary School, Public,Kindergarten ,37
01 February 2009,Theodore Primary School, Public,Year 1,38
01 February 2009,Theodore Primary School, Public,Year 2,35
01 February 2009,Theodore Primary School, Public,Year 3,45
01 February 2009,Theodore Primary School, Public,Year 4,56
01 February 2009,Theodore Primary School, Public,Year 5,47
01 February 2009,Theodore Primary School, Public,Year 6,52
01 February 2009,Torrens Primary School, Public,Preschool,74
01 February 2009,Torrens Primary School, Public,Kindergarten ,60
01 February 2009,Torrens Primary School, Public,Year 1,62
01 February 2009,Torrens Primary School, Public,Year 2,56
01 August 2012,Ainslie School,Public,05,67
01 February 2009,Torrens Primary School, Public,Year 3,67
01 February 2009,Torrens Primary School, Public,Year 4,51
01 February 2009,Torrens Primary School, Public,Year 5,52
01 February 2009,Torrens Primary School, Public,Year 6,66
01 February 2009,Turner School, Public,Preschool,73
01 February 2009,Turner School, Public,Kindergarten ,70
01 February 2009,Turner School, Public,Year 1,57
01 February 2009,Turner School, Public,Year 2,63
01 February 2009,Turner School, Public,Year 3,65
01 February 2009,Turner School, Public,Year 4,76
01 February 2009,Turner School, Public,Year 5,76
01 February 2009,Turner School, Public,Year 6,49
01 February 2009,University of Canberra High School Kaleen, Public,Year 7,48
01 February 2009,University of Canberra High School Kaleen, Public,Year 8,45
01 February 2009,University of Canberra High School Kaleen, Public,Year 9,55
01 February 2009,University of Canberra High School Kaleen, Public,Year 10,64
01 February 2009,University of Canberra Senior Secondary College Lake Ginninderra, Public,Year 11,434
01 February 2009,University of Canberra Senior Secondary College Lake Ginninderra, Public,Year 12,247
01 February 2009,University of Canberra Senior Secondary College Lake Ginninderra Connect 10, Public,Year 9,3
01 February 2009,University of Canberra Senior Secondary College Lake Ginninderra Connect 10, Public,Year 10,5
01 February 2009,Urambi Primary School, Public,Preschool,82
01 February 2009,Urambi Primary School, Public,Kindergarten ,45
01 February 2009,Urambi Primary School, Public,Year 1,30
01 February 2009,Urambi Primary School, Public,Year 2,40
01 February 2009,Urambi Primary School, Public,Year 3,42
01 February 2009,Urambi Primary School, Public,Year 4,38
01 February 2009,Urambi Primary School, Public,Year 5,33
01 February 2009,Urambi Primary School, Public,Year 6,46
01 February 2009,Wanniassa Hills Primary School, Public,Preschool,70
01 February 2009,Wanniassa Hills Primary School, Public,Kindergarten ,54
01 February 2009,Wanniassa Hills Primary School, Public,Year 1,51
01 February 2009,Wanniassa Hills Primary School, Public,Year 2,40
01 February 2009,Wanniassa Hills Primary School, Public,Year 3,53
01 February 2009,Wanniassa Hills Primary School, Public,Year 4,53
01 February 2009,Wanniassa Hills Primary School, Public,Year 5,54
01 February 2009,Wanniassa Hills Primary School, Public,Year 6,44
01 February 2009,Wanniassa School, Public,Preschool,39
01 February 2009,Wanniassa School, Public,Kindergarten ,28
01 February 2009,Wanniassa School, Public,Year 1,25
01 February 2009,Wanniassa School, Public,Year 2,25
01 February 2009,Wanniassa School, Public,Year 3,29
01 February 2009,Wanniassa School, Public,Year 4,33
01 February 2009,Wanniassa School, Public,Year 5,29
01 February 2009,Wanniassa School, Public,Year 6,36
01 February 2009,Wanniassa School, Public,Year 7,84
01 February 2009,Wanniassa School, Public,Year 8,82
01 February 2009,Wanniassa School, Public,Year 9,93
01 February 2009,Wanniassa School, Public,Year 10,59
01 February 2009,Wanniassa School Koori Program, Public,Preschool,13
01 February 2009,Weetangera Primary School, Public,Preschool,61
01 February 2009,Weetangera Primary School, Public,Kindergarten ,59
01 February 2009,Weetangera Primary School, Public,Year 1,49
01 February 2009,Weetangera Primary School, Public,Year 2,47
01 February 2009,Weetangera Primary School, Public,Year 3,48
01 February 2009,Weetangera Primary School, Public,Year 4,45
01 February 2009,Weetangera Primary School, Public,Year 5,56
01 February 2009,Weetangera Primary School, Public,Year 6,24
01 February 2009,Yarralumla Primary School, Public,Preschool,56
01 February 2009,Yarralumla Primary School, Public,Kindergarten ,42
01 February 2009,Yarralumla Primary School, Public,Year 1,22
01 February 2009,Yarralumla Primary School, Public,Year 2,35
01 February 2009,Yarralumla Primary School, Public,Year 3,29
01 February 2009,Yarralumla Primary School, Public,Year 4,22
01 February 2009,Yarralumla Primary School, Public,Year 5,28
01 February 2009,Yarralumla Primary School, Public,Year 6,24
01 February 2009,Blue Gum Community School,Non Gov,Preschool,75
01 February 2009,Blue Gum Community School,Non Gov,Kindergarten ,22
01 February 2009,Blue Gum Community School,Non Gov,Year 1,16
01 February 2009,Blue Gum Community School,Non Gov,Year 2,9
01 February 2009,Blue Gum Community School,Non Gov,Year 3,9
01 February 2009,Blue Gum Community School,Non Gov,Year 4,8
01 February 2009,Blue Gum Community School,Non Gov,Year 5,4
01 February 2009,Blue Gum Community School,Non Gov,Year 6,8
01 February 2009,Blue Gum Community School,Non Gov,Year 7,8
01 February 2009,Blue Gum Community School,Non Gov,Year 8,6
01 February 2009,Blue Gum Community School,Non Gov,Year 9,3
01 February 2009,Brindabella Christian College,Non Gov,Kindergarten ,37
01 February 2009,Brindabella Christian College,Non Gov,Year 1,34
01 February 2009,Brindabella Christian College,Non Gov,Year 2,31
01 February 2009,Brindabella Christian College,Non Gov,Year 3,32
01 February 2009,Brindabella Christian College,Non Gov,Year 4,40
01 February 2009,Brindabella Christian College,Non Gov,Year 5,31
01 February 2009,Brindabella Christian College,Non Gov,Year 6,29
01 February 2009,Brindabella Christian College,Non Gov,Year 7,40
01 February 2009,Brindabella Christian College,Non Gov,Year 8,30
01 February 2009,Brindabella Christian College,Non Gov,Year 9,22
01 February 2009,Brindabella Christian College,Non Gov,Year 10,18
01 February 2009,Burgmann Anglican School,Non Gov,Preschool,51
01 February 2009,Burgmann Anglican School,Non Gov,Kindergarten ,97
01 February 2009,Burgmann Anglican School,Non Gov,Year 1,82
01 February 2009,Burgmann Anglican School,Non Gov,Year 2,56
01 February 2009,Burgmann Anglican School,Non Gov,Year 3,56
01 February 2009,Burgmann Anglican School,Non Gov,Year 4,56
01 February 2009,Burgmann Anglican School,Non Gov,Year 5,56
01 February 2009,Burgmann Anglican School,Non Gov,Year 6,84
01 February 2009,Burgmann Anglican School,Non Gov,Year 7,83
01 February 2009,Burgmann Anglican School,Non Gov,Year 8,81
01 February 2009,Burgmann Anglican School,Non Gov,Year 9,91
01 February 2009,Burgmann Anglican School,Non Gov,Year 10,107
01 February 2009,Burgmann Anglican School,Non Gov,Year 11,65
01 February 2009,Burgmann Anglican School,Non Gov,Year 12,88
01 February 2009,Canberra Christian School,Non Gov,Kindergarten ,2
01 February 2009,Canberra Christian School,Non Gov,Year 1,10
01 February 2009,Canberra Christian School,Non Gov,Year 2,5
01 February 2009,Canberra Christian School,Non Gov,Year 3,8
01 February 2009,Canberra Christian School,Non Gov,Year 4,7
01 February 2009,Canberra Christian School,Non Gov,Year 6,1
01 February 2009,Canberra Girls' Grammar School,Non Gov,Preschool,52
01 February 2009,Canberra Girls' Grammar School,Non Gov,Kindergarten ,51
01 February 2009,Canberra Girls' Grammar School,Non Gov,Year 1,61
01 February 2009,Canberra Girls' Grammar School,Non Gov,Year 2,40
01 February 2009,Canberra Girls' Grammar School,Non Gov,Year 3,67
01 February 2009,Canberra Girls' Grammar School,Non Gov,Year 4,71
01 February 2009,Canberra Girls' Grammar School,Non Gov,Year 5,75
01 February 2009,Canberra Girls' Grammar School,Non Gov,Year 6,75
01 February 2009,Canberra Girls' Grammar School,Non Gov,Year 7,152
01 February 2009,Canberra Girls' Grammar School,Non Gov,Year 8,177
01 February 2009,Canberra Girls' Grammar School,Non Gov,Year 9,155
01 February 2009,Canberra Girls' Grammar School,Non Gov,Year 10,180
01 February 2009,Canberra Girls' Grammar School,Non Gov,Year 11,141
01 February 2009,Canberra Girls' Grammar School,Non Gov,Year 12,150
01 February 2009,Canberra Grammar School,Non Gov,Preschool,106
01 February 2009,Canberra Grammar School,Non Gov,Kindergarten ,70
01 February 2009,Canberra Grammar School,Non Gov,Year 1,74
01 February 2009,Canberra Grammar School,Non Gov,Year 2,74
01 February 2009,Canberra Grammar School,Non Gov,Year 3,68
01 February 2009,Canberra Grammar School,Non Gov,Year 4,68
01 February 2009,Canberra Grammar School,Non Gov,Year 5,86
01 February 2009,Canberra Grammar School,Non Gov,Year 6,95
01 February 2009,Canberra Grammar School,Non Gov,Year 7,176
01 February 2009,Canberra Grammar School,Non Gov,Year 8,156
01 February 2009,Canberra Grammar School,Non Gov,Year 9,165
01 February 2009,Canberra Grammar School,Non Gov,Year 10,168
01 February 2009,Canberra Grammar School,Non Gov,Year 11,140
01 February 2009,Canberra Grammar School,Non Gov,Year 12,139
01 February 2009,Canberra Montessori School,Non Gov,Preschool,71
01 February 2009,Canberra Montessori School,Non Gov,Kindergarten ,22
01 February 2009,Canberra Montessori School,Non Gov,Year 1,15
01 February 2009,Canberra Montessori School,Non Gov,Year 2,13
01 February 2009,Canberra Montessori School,Non Gov,Year 3,20
01 February 2009,Canberra Montessori School,Non Gov,Year 4,8
01 February 2009,Canberra Montessori School,Non Gov,Year 5,8
01 February 2009,Canberra Montessori School,Non Gov,Year 6,9
01 February 2009,Covenant College,Non Gov,Kindergarten ,12
01 February 2009,Covenant College,Non Gov,Year 1,8
01 February 2009,Covenant College,Non Gov,Year 2,10
01 February 2009,Covenant College,Non Gov,Year 3,7
01 February 2009,Covenant College,Non Gov,Year 4,18
01 February 2009,Covenant College,Non Gov,Year 5,10
01 February 2009,Covenant College,Non Gov,Year 6,10
01 February 2009,Covenant College,Non Gov,Year 7,16
01 February 2009,Covenant College,Non Gov,Year 8,16
01 February 2009,Covenant College,Non Gov,Year 9,15
01 February 2009,Covenant College,Non Gov,Year 10,8
01 February 2009,Daramalan College,Non Gov,Year 7,250
01 February 2009,Daramalan College,Non Gov,Year 8,250
01 February 2009,Daramalan College,Non Gov,Year 9,253
01 February 2009,Daramalan College,Non Gov,Year 10,253
01 February 2009,Daramalan College,Non Gov,Year 11,236
01 February 2009,Daramalan College,Non Gov,Year 12,240
01 February 2009,Emmaus Christian School,Non Gov,Preschool,38
01 February 2009,Emmaus Christian School,Non Gov,Kindergarten ,27
01 February 2009,Emmaus Christian School,Non Gov,Year 1,21
01 February 2009,Emmaus Christian School,Non Gov,Year 2,27
01 February 2009,Emmaus Christian School,Non Gov,Year 3,27
01 February 2009,Emmaus Christian School,Non Gov,Year 4,26
01 February 2009,Emmaus Christian School,Non Gov,Year 5,25
01 February 2009,Emmaus Christian School,Non Gov,Year 6,26
01 February 2009,Emmaus Christian School,Non Gov,Year 7,26
01 February 2009,Emmaus Christian School,Non Gov,Year 8,24
01 February 2009,Emmaus Christian School,Non Gov,Year 9,23
01 February 2009,Emmaus Christian School,Non Gov,Year 10,25
01 February 2009,Good Shepherd Primary School,Non Gov,Kindergarten ,91
01 February 2009,Good Shepherd Primary School,Non Gov,Year 1,101
01 February 2009,Good Shepherd Primary School,Non Gov,Year 2,88
01 February 2009,Good Shepherd Primary School,Non Gov,Year 3,104
01 February 2009,Good Shepherd Primary School,Non Gov,Year 4,86
01 August 2012,Ainslie School,Public,06,55
01 February 2009,Good Shepherd Primary School,Non Gov,Year 5,87
01 February 2009,Good Shepherd Primary School,Non Gov,Year 6,62
01 February 2009,Holy Family Parish Primary School,Non Gov,Preschool,42
01 February 2009,Holy Family Parish Primary School,Non Gov,Kindergarten ,97
01 February 2009,Holy Family Parish Primary School,Non Gov,Year 1,91
01 February 2009,Holy Family Parish Primary School,Non Gov,Year 2,90
01 February 2009,Holy Family Parish Primary School,Non Gov,Year 3,96
01 February 2009,Holy Family Parish Primary School,Non Gov,Year 4,77
01 February 2009,Holy Family Parish Primary School,Non Gov,Year 5,72
01 February 2009,Holy Family Parish Primary School,Non Gov,Year 6,68
01 February 2009,Holy Spirit Primary School,Non Gov,Kindergarten ,67
01 February 2009,Holy Spirit Primary School,Non Gov,Year 1,77
01 February 2009,Holy Spirit Primary School,Non Gov,Year 2,80
01 February 2009,Holy Spirit Primary School,Non Gov,Year 3,82
01 February 2009,Holy Spirit Primary School,Non Gov,Year 4,85
01 February 2009,Holy Spirit Primary School,Non Gov,Year 5,83
01 February 2009,Holy Spirit Primary School,Non Gov,Year 6,74
01 February 2009,Holy Trinity Primary School,Non Gov,Kindergarten ,46
01 February 2009,Holy Trinity Primary School,Non Gov,Year 1,46
01 February 2009,Holy Trinity Primary School,Non Gov,Year 2,26
01 February 2009,Holy Trinity Primary School,Non Gov,Year 3,50
01 February 2009,Holy Trinity Primary School,Non Gov,Year 4,39
01 February 2009,Holy Trinity Primary School,Non Gov,Year 5,39
01 February 2009,Holy Trinity Primary School,Non Gov,Year 6,30
01 February 2009,Islamic School of Canberra,Non Gov,Kindergarten ,21
01 February 2009,Islamic School of Canberra,Non Gov,Year 1,24
01 February 2009,Islamic School of Canberra,Non Gov,Year 2,21
